poř.,titul,titul orig.,distributor,formát,premiéra,produkce,předst.,diváci,tržby,předst._celkem,diváci_celkem,tržby_celkem,rok,předst,předst_celkem,číslo,úprava,kopií,čisté tržby,pořadí,český název,orig. název,země,diváků,čistá tržba,titul cz,titul orig,prod
1,"Prvok, Šampón, Tečka a Karel","Prvok, Šampón, Tečka a Karel",Bontonfilm,"2D, MP4",2021-07-29 00:00:00,CZE,10737,600192,92830114.25,10737,600192,92830114.25,2021,,,,,,,,,,,,,,,
2,Spider-Man: Bez domova,Spider-Man: No Way Home,Falcon,"2D, 3D, IM2, 4D2, 4D3",2021-12-16 00:00:00,USA,6856,404224,66940239.08,6856,404224,66940239.08,2021,,,,,,,,,,,,,,,
3,Zátopek,Zátopek,Falcon,2D,2021-08-26 00:00:00,CZE,8481,393678,59360172.72,8481,393678,59360172.72,2021,,,,,,,,,,,,,,,
4,Karel,Karel,Bontonfilm,"2D, MP4",2021-10-07 00:00:00,CZE,8005,390783,58768794.12,8009,391761,58808794.12,2021,,,,,,,,,,,,,,,
5,Není čas zemřít,No Time to Die,Forum Film,"2D, IM2, 4D2",2021-09-30 00:00:00,GBR,8892,362970,66638590.26,8892,362970,66638590.26,2021,,,,,,,,,,,,,,,
6,Venom 2: Carnage přichází,Venom: Let There Be Carnage,Falcon,"2D, 3D, IM2, 4D2, 4D3",2021-10-14 00:00:00,USA,9018,317016,54295465.3,9018,317016,54295465.3,2021,,,,,,,,,,,,,,,
7,Matky,Matky,Bontonfilm,"2D, MP4",2021-06-24 00:00:00,CZE,7263,296031,42809732.38,7263,296031,42809732.38,2021,,,,,,,,,,,,,,,
8,Duna,Dune,Vertical,"2D, 3D, IM3, 4D2, 4D3",2021-10-21 00:00:00,USA,7681,269622,49880850.73,7681,269622,49880850.73,2021,,,,,,,,,,,,,,,
9,Black Widow,Black Widow,Falcon,"2D, 3D, IM3, 4D3",2021-07-08 00:00:00,USA,7145,233044,39616793.82,7145,233044,39616793.82,2021,,,,,,,,,,,,,,,
10,"Gump - Pes, který naučil lidi žít","Gump - Pes, který naučil lidi žít",Bioscop/AQS,"DVD, 2D, BR, MP4",2021-07-22 00:00:00,CZE,5511,211223,25688012,5511,211223,25688012,2021,,,,,,,,,,,,,,,
11,Přání Ježíškovi,Přání Ježíškovi,Bioscop/AQS,"2D, MP4",2021-11-11 00:00:00,CZE,6933,172307,26208747.34,6933,172307,26208747.34,2021,,,,,,,,,,,,,,,
12,Tlapková patrola ve filmu,Paw Patrol: The Movie,CinemArt,2D,2021-08-19 00:00:00,USA,6005,167218,24884914.4,6005,167218,24884914.4,2021,,,,,,,,,,,,,,,
13,Rychle a zběsile 9,Fast & Furious 9,CinemArt,"DVD, 2D, BR, IM2, 4D2",2021-06-17 00:00:00,USA,5566,156866,26317392.03,5566,156866,26317392.03,2021,,,,,,,,,,,,,,,
14,Free Guy,Free Guy,Falcon,"2D, 3D, IM3, 4D2, 4D3",2021-08-12 00:00:00,USA,6283,148176,25661367.47,6283,148176,25661367.47,2021,,,,,,,,,,,,,,,
15,Eternals,"Eternals, The",Falcon,"2D, 3D, IM3, 4D3",2021-11-04 00:00:00,USA,7079,139442,24428571.46,7079,139442,24428571.46,2021,,,,,,,,,,,,,,,
16,Shang-Chi a legenda o deseti prstenech,Shang-Chi and the Legend of the Ten Rings,Falcon,"2D, 3D, IM3, 4D3",2021-09-02 00:00:00,USA,6192,136306,23529581.96,6192,136306,23529581.96,2021,,,,,,,,,,,,,,,
17,Deníček moderního fotra,Deníček moderního fotra,CinemArt,"DVD, 2D, MP4",2021-08-12 00:00:00,CZE,4462,130712,19786282.2,4462,130712,19786282.2,2021,,,,,,,,,,,,,,,
18,Myši patří do nebe,Myši patří do nebe,CinemArt,2D,2021-10-07 00:00:00,CZE,4502,107006,14478790.8,4502,107006,14478790.8,2021,,,,,,,,,,,,,,,
19,Croodsovi: Nový věk,The Croods: A New Age,CinemArt,"DVD, 2D, 3D, BR, 4D3",2021-07-22 00:00:00,USA,4160,104318,15252700.46,4160,104318,15252700.46,2021,,,,,,,,,,,,,,,
20,After: Tajemství ,After We Fell,Bontonfilm,2D,2021-09-02 00:00:00,USA,4141,94459,14815133.05,4141,94459,14815133.05,2021,,,,,,,,,,,,,,,
21,Mimi šéf: Rodinný podnik,The Boss Baby: Family Business,CinemArt,"2D, 3D",2021-09-02 00:00:00,USA,4753,90870,13708349.83,4753,90870,13708349.83,2021,,,,,,,,,,,,,,,
22,Klan Gucci,House of Gucci,Forum Film,2D,2021-11-25 00:00:00,USA,3893,86442,14760885.63,3893,86442,14760885.63,2021,,,,,,,,,,,,,,,
23,V zajetí démonů 3: Na Ďáblův příkaz,The Conjuring: The Devil Made Me Do It,Vertical,"2D, 4D2",2021-06-24 00:00:00,USA,2813,75358,12709162.79,2813,75358,12709162.79,2021,,,,,,,,,,,,,,,
24,Luca,Luca,Falcon,"2D, 3D",2021-06-17 00:00:00,USA,3955,72913,10666019.12,3955,72913,10666019.12,2021,,,,,,,,,,,,,,,
25,Zbožňovaný,Zbožňovaný,Bioscop/AQS,"2D, MP4",2021-09-23 00:00:00,CZE,3746,71668,10394059.63,3746,71668,10394059.63,2021,,,,,,,,,,,,,,,
26,Expedice: Džungle,Jungle Cruise,Falcon,"2D, 3D, IM3, 4D2, 4D3",2021-07-29 00:00:00,USA,3642,67327,11157536.54,3642,67327,11157536.54,2021,,,,,,,,,,,,,,,
27,Addamsova rodina 2,The Addams Family 2,Forum Film,2D,2021-10-28 00:00:00,USA,4045,64453,9800653.92,4045,64453,9800653.92,2021,,,,,,,,,,,,,,,
28,Sebevražedný oddíl,The Suicide Squad,Vertical,"2D, IM2, 4D2",2021-08-05 00:00:00,USA,2819,58026,10199287.8,2819,58026,10199287.8,2021,,,,,,,,,,,,,,,
29,Králíček Petr bere do zaječích,Peter Rabbit 2: The Runaway,Falcon,"2D, 4D2",2021-08-05 00:00:00,USA,2444,51943,7405989,2444,51943,7405989,2021,,,,,,,,,,,,,,,
30,Bábovky,Bábovky,CinemArt,"DVD, 2D, MP4",2020-09-24 00:00:00,CZE,1421,51618,4649612,7136,196509,27041124.65,2021,,,,,,,,,,,,,,,
31,Matrix Resurrections,The Matrix Resurrections,Vertical,"2D, IM2, 4D2",2021-12-23 00:00:00,USA,2015,48425,8408134.84,2015,48425,8408134.84,2021,,,,,,,,,,,,,,,
32,Tiché místo: Část II,A Quiet Place: Part II,CinemArt,"DVD, 2D, BR, IM2, 4D2",2021-06-10 00:00:00,USA,2962,47705,8046902.24,2962,47705,8046902.24,2021,,,,,,,,,,,,,,,
